,negative,neutral,positive,total
experi,8.0,16.0,26.0,50.0
experienc,0.0,16.0,18.0,34.0
experiment,8.0,0.0,0.0,8.0
explain,8.0,8.0,6.0,22.0
explicit,0.0,4.0,0.0,4.0
explor,0.0,0.0,3.0,3.0
expos,0.0,0.0,5.0,5.0
expound,0.0,0.0,2.0,2.0
express,0.0,0.0,3.0,3.0
exquisit,0.0,0.0,1.0,1.0
exspect,0.0,0.0,1.0,1.0
extend,21.0,8.0,30.0,59.0
extens,0.0,0.0,4.0,4.0
exterior,0.0,0.0,2.0,2.0
extern,0.0,0.0,17.0,17.0
extol,0.0,0.0,1.0,1.0
extra,12.0,64.0,136.0,212.0
extran,0.0,0.0,4.0,4.0
extream,0.0,0.0,1.0,1.0
extrem,16.0,16.0,63.0,95.0
extrud,0.0,0.0,1.0,1.0
exud,0.0,0.0,1.0,1.0
eye,0.0,0.0,1.0,1.0
ez,0.0,0.0,6.0,6.0
ezdrumm,0.0,0.0,2.0,2.0
ezx,0.0,0.0,1.0,1.0
fab,0.0,4.0,16.0,20.0
fabric,0.0,4.0,2.0,6.0
fabul,0.0,0.0,2.0,2.0
face,8.0,4.0,13.0,25.0
factor,0.0,0.0,3.0,3.0
factori,0.0,0.0,2.0,2.0
fade,0.0,12.0,7.0,19.0
fail,16.0,8.0,31.0,55.0
faint,0.0,0.0,1.0,1.0
fair,12.0,56.0,86.0,154.0
fairi,0.0,0.0,1.0,1.0
faith,0.0,0.0,2.0,2.0
fake,0.0,0.0,4.0,4.0
fall,8.0,32.0,56.0,96.0
fallen,8.0,4.0,4.0,16.0
fals,0.0,0.0,1.0,1.0
falter,0.0,0.0,1.0,1.0
familiar,0.0,4.0,8.0,12.0
famous,12.0,0.0,12.0,24.0
fan,0.0,0.0,4.0,4.0
fanat,0.0,0.0,1.0,1.0
fanci,0.0,8.0,10.0,18.0
fancier,0.0,0.0,1.0,1.0
fanciest,0.0,0.0,1.0,1.0
fantact,0.0,0.0,1.0,1.0
fantast,4.0,8.0,65.0,77.0
far,147.0,104.0,213.0,464.0
fare,0.0,4.0,0.0,4.0
farther,0.0,0.0,3.0,3.0
fast,8.0,32.0,90.0,130.0
fasten,0.0,0.0,3.0,3.0
faster,0.0,16.0,25.0,41.0
fastest,0.0,0.0,1.0,1.0
fastpul,0.0,0.0,1.0,1.0
fat,0.0,4.0,11.0,15.0
fatal,0.0,0.0,1.0,1.0
father,0.0,0.0,1.0,1.0
fathom,0.0,0.0,2.0,2.0
fatigu,0.0,0.0,1.0,1.0
fatten,0.0,0.0,5.0,5.0
fatter,0.0,0.0,2.0,2.0
fault,0.0,0.0,2.0,2.0
faulti,0.0,0.0,1.0,1.0
faux,8.0,0.0,2.0,10.0
fave,0.0,0.0,1.0,1.0
favor,8.0,4.0,5.0,17.0
favour,0.0,4.0,6.0,10.0
favourit,0.0,8.0,54.0,62.0
fbq,0.0,0.0,1.0,1.0
fear,0.0,4.0,3.0,7.0
feat,0.0,4.0,0.0,4.0
featur,0.0,4.0,7.0,11.0
fed,0.0,0.0,1.0,1.0
feed,0.0,12.0,4.0,16.0
feedback,0.0,0.0,8.0,8.0
feel,53.0,68.0,229.0,350.0
fell,12.0,16.0,16.0,44.0
fellow,0.0,0.0,2.0,2.0
felt,20.0,8.0,22.0,50.0
femal,0.0,0.0,11.0,11.0
fend,0.0,0.0,1.0,1.0
fender,0.0,12.0,49.0,61.0
few,121.0,112.0,285.0,518.0
fewer,4.0,0.0,0.0,4.0
fi,0.0,0.0,3.0,3.0
fiber,0.0,4.0,3.0,7.0
fibr,0.0,0.0,1.0,1.0
fidd,0.0,4.0,0.0,4.0
fiddl,8.0,4.0,7.0,19.0
fier,0.0,0.0,1.0,1.0
fifteen,0.0,0.0,2.0,2.0
fifti,0.0,0.0,2.0,2.0
fight,4.0,0.0,5.0,9.0
figur,0.0,40.0,61.0,101.0
file,4.0,0.0,9.0,13.0
fill,0.0,8.0,18.0,26.0
filmsi,0.0,0.0,1.0,1.0
filter,4.0,4.0,7.0,15.0
filteri,0.0,0.0,1.0,1.0
fin,0.0,0.0,2.0,2.0
final,0.0,24.0,54.0,78.0
financi,0.0,0.0,3.0,3.0
find,75.0,104.0,261.0,440.0
fine,146.0,100.0,197.0,443.0
finest,0.0,0.0,3.0,3.0
finger,0.0,8.0,20.0,28.0
fingerboard,0.0,0.0,7.0,7.0
fingerlik,0.0,0.0,2.0,2.0
fingerpack,0.0,0.0,1.0,1.0
fingerpick,0.0,0.0,3.0,3.0
fingerstyl,0.0,4.0,2.0,6.0
finicki,16.0,0.0,2.0,18.0
finish,25.0,20.0,38.0,83.0
fire,0.0,0.0,1.0,1.0
firm,0.0,8.0,25.0,33.0
firmer,0.0,0.0,1.0,1.0
first,160.0,120.0,328.0,608.0
firth,0.0,0.0,1.0,1.0
fish,0.0,4.0,3.0,7.0
fishman,0.0,0.0,6.0,6.0
fist,4.0,0.0,2.0,6.0
fit,114.0,112.0,215.0,441.0
fix,12.0,16.0,43.0,71.0
fizzi,8.0,0.0,2.0,10.0
fl,0.0,0.0,2.0,2.0
flac,0.0,0.0,1.0,1.0
flag,0.0,0.0,1.0,1.0
flak,0.0,0.0,1.0,1.0
flake,0.0,0.0,1.0,1.0
flakey,0.0,4.0,0.0,4.0
flamenco,0.0,0.0,2.0,2.0
flammabl,0.0,8.0,0.0,8.0
flang,0.0,0.0,1.0,1.0
flanger,0.0,0.0,2.0,2.0
flap,8.0,0.0,1.0,9.0
flappi,0.0,0.0,1.0,1.0
flash,0.0,4.0,6.0,10.0
flashi,0.0,0.0,5.0,5.0
flashier,0.0,0.0,2.0,2.0
flashlight,0.0,0.0,1.0,1.0
flat,37.0,32.0,68.0,137.0
flatpick,0.0,0.0,4.0,4.0
flatten,0.0,0.0,1.0,1.0
flatter,0.0,0.0,2.0,2.0
flattop,0.0,0.0,1.0,1.0
flatwound,0.0,0.0,4.0,4.0
flawless,0.0,0.0,19.0,19.0
fleshi,0.0,0.0,1.0,1.0
flew,0.0,4.0,0.0,4.0
flex,20.0,8.0,8.0,36.0
flexibl,20.0,8.0,42.0,70.0
fli,0.0,0.0,5.0,5.0
flicker,0.0,0.0,1.0,1.0
flimsi,24.0,12.0,20.0,56.0
flimsier,0.0,0.0,2.0,2.0
fling,0.0,4.0,0.0,4.0
flip,0.0,0.0,4.0,4.0
float,0.0,4.0,9.0,13.0
floor,4.0,0.0,2.0,6.0
floorboard,0.0,0.0,1.0,1.0
floosi,0.0,4.0,0.0,4.0
flop,4.0,0.0,1.0,5.0
floppi,0.0,0.0,4.0,4.0
floral,0.0,0.0,1.0,1.0
floresc,0.0,4.0,1.0,5.0
florida,0.0,0.0,1.0,1.0
florist,0.0,0.0,1.0,1.0
flow,0.0,4.0,1.0,5.0
flubbi,0.0,0.0,2.0,2.0
fluctuat,0.0,0.0,1.0,1.0
fluid,0.0,0.0,2.0,2.0
fluke,0.0,0.0,1.0,1.0
flush,21.0,0.0,2.0,23.0
flute,0.0,0.0,1.0,1.0
foam,0.0,0.0,7.0,7.0
focus,0.0,0.0,6.0,6.0
focusrit,16.0,0.0,2.0,18.0
fog,0.0,4.0,2.0,6.0
foggi,0.0,0.0,1.0,1.0
fold,8.0,4.0,48.0,60.0
folk,0.0,0.0,1.0,1.0
follow,12.0,12.0,20.0,44.0
fond,0.0,0.0,1.0,1.0
font,4.0,0.0,0.0,4.0
fool,8.0,4.0,13.0,25.0
foolish,0.0,0.0,2.0,2.0
foolproof,0.0,0.0,1.0,1.0
foot,18.0,8.0,3.0,29.0
footer,0.0,4.0,0.0,4.0
footrest,0.0,0.0,1.0,1.0
footswitch,0.0,4.0,0.0,4.0
forbid,0.0,0.0,1.0,1.0
forc,4.0,4.0,2.0,10.0
forcibl,0.0,4.0,0.0,4.0
fordj,0.0,4.0,0.0,4.0
fore,0.0,0.0,1.0,1.0
forego,0.0,0.0,1.0,1.0
foreign,0.0,0.0,1.0,1.0
foremost,0.0,8.0,0.0,8.0
forese,0.0,0.0,3.0,3.0
foreseen,0.0,0.0,1.0,1.0
forev,0.0,16.0,37.0,53.0
forewarn,0.0,0.0,1.0,1.0
forfeit,0.0,0.0,1.0,1.0
forget,4.0,20.0,24.0,48.0
forgiv,0.0,0.0,4.0,4.0
forgiven,0.0,0.0,1.0,1.0
forgot,0.0,12.0,4.0,16.0
forgotten,0.0,0.0,2.0,2.0
fork,4.0,4.0,3.0,11.0
form,0.0,0.0,6.0,6.0
formabl,0.0,0.0,1.0,1.0
formal,0.0,4.0,2.0,6.0
former,0.0,0.0,2.0,2.0
forse,0.0,0.0,1.0,1.0
forth,0.0,4.0,4.0,8.0
forti,0.0,0.0,1.0,1.0
fortifi,0.0,0.0,1.0,1.0
fortun,8.0,0.0,11.0,19.0
forum,0.0,0.0,1.0,1.0
forward,4.0,0.0,26.0,30.0
found,58.0,76.0,179.0,313.0
fourteen,0.0,0.0,1.0,1.0
fourth,0.0,0.0,2.0,2.0
foward,0.0,4.0,0.0,4.0
fragil,0.0,4.0,6.0,10.0
frail,0.0,0.0,2.0,2.0
franchis,4.0,0.0,0.0,4.0
frank,16.0,4.0,9.0,29.0
fray,4.0,4.0,7.0,15.0
freak,0.0,0.0,4.0,4.0
free,0.0,16.0,69.0,85.0
freebe,0.0,0.0,1.0,1.0
freed,0.0,0.0,1.0,1.0
freeli,8.0,0.0,4.0,12.0
freetless,0.0,0.0,1.0,1.0
frequenc,0.0,0.0,2.0,2.0
frequent,0.0,12.0,9.0,21.0
fresh,0.0,4.0,17.0,21.0
freshen,0.0,0.0,1.0,1.0
fresher,0.0,0.0,1.0,1.0
frest,0.0,0.0,1.0,1.0
fret,33.0,16.0,61.0,110.0
fretboard,4.0,0.0,6.0,10.0
fretless,0.0,0.0,2.0,2.0
fri,0.0,0.0,1.0,1.0
friday,0.0,4.0,3.0,7.0
friend,0.0,8.0,16.0,24.0
frigid,0.0,4.0,0.0,4.0
frikn,0.0,0.0,1.0,1.0
frill,0.0,0.0,1.0,1.0
frivol,0.0,0.0,1.0,1.0
fro,0.0,0.0,2.0,2.0
fromthi,0.0,0.0,1.0,1.0
front,21.0,0.0,11.0,32.0
frost,8.0,0.0,1.0,9.0
frustrat,28.0,8.0,4.0,40.0
fsb,0.0,0.0,1.0,1.0
ft,0.0,8.0,6.0,14.0
fuel,0.0,0.0,1.0,1.0
full,41.0,32.0,84.0,157.0
fuller,0.0,0.0,2.0,2.0
fullest,0.0,0.0,1.0,1.0
fulli,12.0,8.0,22.0,42.0
fumbl,0.0,8.0,0.0,8.0
fume,0.0,0.0,1.0,1.0
fun,0.0,12.0,15.0,27.0
function,0.0,16.0,31.0,47.0
funk,0.0,0.0,3.0,3.0
funki,0.0,0.0,5.0,5.0
funni,0.0,0.0,5.0,5.0
fur,0.0,0.0,2.0,2.0
furri,0.0,0.0,1.0,1.0
further,94.0,8.0,18.0,120.0
fuse,0.0,4.0,0.0,4.0
fuss,0.0,0.0,3.0,3.0
fussi,0.0,4.0,1.0,5.0
futil,0.0,0.0,1.0,1.0
futur,8.0,0.0,8.0,16.0
fuzz,0.0,0.0,2.0,2.0
fuzzi,4.0,0.0,1.0,5.0
fuzzier,0.0,0.0,1.0,1.0
fw,0.0,0.0,1.0,1.0
fx,0.0,0.0,3.0,3.0
fxfor,0.0,0.0,1.0,1.0
fyi,0.0,0.0,1.0,1.0
gadget,0.0,0.0,1.0,1.0
gain,4.0,0.0,9.0,13.0
galor,0.0,0.0,2.0,2.0
gambl,0.0,0.0,1.0,1.0
game,0.0,0.0,1.0,1.0
gang,0.0,0.0,1.0,1.0
garageband,0.0,0.0,1.0,1.0
garbag,0.0,0.0,1.0,1.0
garcia,4.0,0.0,0.0,4.0
garish,0.0,0.0,1.0,1.0
gate,0.0,0.0,1.0,1.0
gather,4.0,0.0,0.0,4.0
gatorgrip,0.0,0.0,1.0,1.0
gaug,0.0,0.0,8.0,8.0
gave,12.0,36.0,51.0,99.0
gawdi,0.0,0.0,1.0,1.0
gb,0.0,0.0,1.0,1.0
gear,8.0,8.0,23.0,39.0
gee,0.0,0.0,1.0,1.0
gel,0.0,0.0,2.0,2.0
gell,0.0,0.0,1.0,1.0
general,16.0,28.0,39.0,83.0
generat,0.0,4.0,6.0,10.0
generic,0.0,8.0,4.0,12.0
generous,0.0,0.0,3.0,3.0
genius,0.0,0.0,1.0,1.0
genr,0.0,0.0,1.0,1.0
gentl,4.0,16.0,16.0,36.0
genuin,0.0,4.0,7.0,11.0
gerlitz,0.0,0.0,1.0,1.0
german,0.0,8.0,4.0,12.0
germani,0.0,0.0,1.0,1.0
get,681.0,572.0,1046.0,2299.0
gettingworn,0.0,0.0,2.0,2.0
ghs,0.0,0.0,1.0,1.0
giant,0.0,8.0,1.0,9.0
gibson,0.0,0.0,9.0,9.0
gig,12.0,12.0,48.0,72.0
gigant,4.0,0.0,0.0,4.0
gige,0.0,0.0,2.0,2.0
gilmour,0.0,4.0,1.0,5.0
gilmouresqu,0.0,0.0,1.0,1.0
gimic,0.0,4.0,0.0,4.0
gimmick,0.0,0.0,1.0,1.0
girl,0.0,0.0,1.0,1.0
git,0.0,0.0,1.0,1.0
give,91.0,140.0,301.0,532.0
given,16.0,36.0,28.0,80.0
giveyou,0.0,0.0,1.0,1.0
gizmo,0.0,0.0,1.0,1.0
glad,0.0,12.0,47.0,59.0
glandular,0.0,0.0,1.0,1.0
glare,0.0,4.0,0.0,4.0
glass,0.0,0.0,1.0,1.0
glassi,0.0,0.0,2.0,2.0
gleam,0.0,0.0,1.0,1.0
glen,8.0,0.0,0.0,8.0
glide,0.0,0.0,3.0,3.0
glisten,0.0,0.0,1.0,1.0
global,0.0,0.0,4.0,4.0
glorifi,4.0,0.0,0.0,4.0
glorious,0.0,0.0,1.0,1.0
gloss,21.0,0.0,0.0,21.0
glossi,0.0,0.0,6.0,6.0
glove,0.0,0.0,1.0,1.0
glow,0.0,0.0,1.0,1.0
gls,0.0,4.0,6.0,10.0
glu,4.0,8.0,2.0,14.0
glue,4.0,4.0,8.0,16.0
gm,0.0,0.0,1.0,1.0
gno,0.0,0.0,1.0,1.0
go,460.0,200.0,520.0,1180.0
gobsmack,0.0,0.0,1.0,1.0
god,0.0,0.0,3.0,3.0
godaw,8.0,0.0,0.0,8.0
godlyk,0.0,0.0,3.0,3.0
godsend,0.0,0.0,3.0,3.0
goe,16.0,20.0,81.0,117.0
gold,21.0,8.0,7.0,36.0
golden,8.0,4.0,4.0,16.0
goldhat,0.0,0.0,1.0,1.0
gon,0.0,4.0,9.0,13.0
gone,16.0,8.0,19.0,43.0
goo,0.0,0.0,1.0,1.0
good,410.0,548.0,1281.0,2239.0
goodby,0.0,0.0,1.0,1.0
gooddirt,0.0,0.0,1.0,1.0
goodthank,0.0,0.0,1.0,1.0
goodtim,0.0,0.0,1.0,1.0
goofi,0.0,4.0,0.0,4.0
googl,0.0,0.0,1.0,1.0
goos,0.0,4.0,5.0,9.0
goretex,0.0,0.0,1.0,1.0
gorgeous,0.0,0.0,3.0,3.0
gospel,0.0,0.0,1.0,1.0
got,233.0,172.0,360.0,765.0
gota,0.0,0.0,1.0,1.0
goth,0.0,0.0,1.0,1.0
gotten,26.0,8.0,25.0,59.0
grab,0.0,4.0,30.0,34.0
grace,0.0,4.0,0.0,4.0
gracious,0.0,0.0,1.0,1.0
grade,0.0,0.0,5.0,5.0
gradual,0.0,0.0,4.0,4.0
graini,0.0,0.0,1.0,1.0
grand,0.0,0.0,12.0,12.0
grant,0.0,4.0,7.0,11.0
graph,0.0,0.0,1.0,1.0
graphic,0.0,0.0,4.0,4.0
graphit,0.0,0.0,1.0,1.0
graphtech,0.0,0.0,2.0,2.0
grasp,0.0,0.0,1.0,1.0
grate,0.0,0.0,2.0,2.0
gray,0.0,0.0,5.0,5.0
greasi,0.0,0.0,5.0,5.0
great,305.0,296.0,1466.0,2067.0
greater,4.0,8.0,9.0,21.0
greatest,0.0,12.0,5.0,17.0
green,0.0,4.0,13.0,17.0
greener,0.0,0.0,1.0,1.0
greenish,0.0,4.0,0.0,4.0
greg,4.0,0.0,0.0,4.0
gretch,0.0,0.0,1.0,1.0
grew,0.0,0.0,3.0,3.0
grey,16.0,0.0,3.0,19.0
grill,0.0,0.0,1.0,1.0
grimac,21.0,0.0,0.0,21.0
grin,0.0,0.0,1.0,1.0
grind,4.0,0.0,2.0,6.0
grip,8.0,12.0,25.0,45.0
gripe,0.0,0.0,5.0,5.0
grippabl,0.0,4.0,0.0,4.0
grippi,0.0,0.0,6.0,6.0
grit,0.0,0.0,2.0,2.0
gritti,0.0,0.0,2.0,2.0
grittier,0.0,0.0,1.0,1.0
groan,0.0,0.0,1.0,1.0
groov,0.0,0.0,1.0,1.0
grope,0.0,0.0,1.0,1.0
gross,0.0,0.0,4.0,4.0
ground,18.0,0.0,0.0,18.0
groupi,0.0,4.0,0.0,4.0
grow,0.0,0.0,5.0,5.0
grown,0.0,4.0,4.0,8.0
grumbl,0.0,0.0,1.0,1.0
gsb,0.0,0.0,2.0,2.0
gspwb,0.0,0.0,1.0,1.0
gt,4.0,0.0,0.0,4.0
guarante,0.0,0.0,4.0,4.0
guard,0.0,4.0,1.0,5.0
guardian,0.0,8.0,2.0,10.0
guess,53.0,20.0,31.0,104.0
guest,0.0,0.0,1.0,1.0
guid,0.0,0.0,7.0,7.0
guild,0.0,0.0,2.0,2.0
guitar,12.0,40.0,114.0,166.0
guitarist,0.0,0.0,5.0,5.0
gum,0.0,0.0,1.0,1.0
gummi,0.0,0.0,1.0,1.0
gun,0.0,0.0,2.0,2.0
gunk,0.0,0.0,4.0,4.0
gush,0.0,0.0,1.0,1.0
gut,0.0,4.0,2.0,6.0
gutsi,0.0,0.0,1.0,1.0
guttur,0.0,0.0,1.0,1.0
guy,0.0,4.0,6.0,10.0
hackabl,0.0,0.0,1.0,1.0
had,230.0,300.0,696.0,1226.0
haha,0.0,0.0,3.0,3.0
hahah,0.0,0.0,1.0,1.0
hahahthes,0.0,0.0,1.0,1.0
hair,0.0,0.0,1.0,1.0
halen,21.0,0.0,1.0,22.0
half,8.0,4.0,18.0,30.0
halfway,0.0,0.0,1.0,1.0
hallow,0.0,0.0,1.0,1.0
halloween,0.0,4.0,1.0,5.0
hammer,0.0,0.0,2.0,2.0
hand,0.0,4.0,10.0,14.0
handi,0.0,12.0,50.0,62.0
handl,16.0,28.0,50.0,94.0
handmad,0.0,0.0,1.0,1.0
hang,18.0,0.0,41.0,59.0
hanger,0.0,0.0,1.0,1.0
happen,107.0,12.0,40.0,159.0
happi,12.0,20.0,161.0,193.0
happier,8.0,4.0,21.0,33.0
happiest,0.0,0.0,1.0,1.0
happili,0.0,0.0,3.0,3.0
happyi,0.0,0.0,1.0,1.0
hard,130.0,140.0,207.0,477.0
harder,0.0,16.0,12.0,28.0
hardest,8.0,0.0,1.0,9.0
hardshel,0.0,4.0,0.0,4.0
hardwar,4.0,0.0,2.0,6.0
hardwood,0.0,4.0,0.0,4.0
harm,8.0,0.0,7.0,15.0
harmless,0.0,0.0,1.0,1.0
harmon,0.0,4.0,2.0,6.0
harmoni,0.0,0.0,1.0,1.0
harmonica,0.0,0.0,4.0,4.0
harmonix,0.0,0.0,2.0,2.0
harp,4.0,4.0,4.0,12.0
harsh,4.0,8.0,11.0,23.0
harvest,0.0,4.0,0.0,4.0
has,404.0,276.0,725.0,1405.0
hasa,0.0,0.0,1.0,1.0
hassl,0.0,4.0,6.0,10.0
hastili,0.0,0.0,1.0,1.0
hate,16.0,16.0,22.0,54.0
haul,0.0,4.0,3.0,7.0
have,1216.0,1264.0,3288.0,5768.0
haven,0.0,0.0,1.0,1.0
havent,0.0,0.0,3.0,3.0
havn,0.0,0.0,1.0,1.0
havnt,0.0,0.0,1.0,1.0
hawk,0.0,0.0,1.0,1.0
hazard,0.0,0.0,2.0,2.0
hd,0.0,0.0,2.0,2.0
head,0.0,0.0,11.0,11.0
headach,0.0,0.0,1.0,1.0
headgear,0.0,0.0,1.0,1.0
headphon,0.0,0.0,6.0,6.0
healthi,0.0,4.0,0.0,4.0
hear,58.0,48.0,89.0,195.0
heard,49.0,12.0,47.0,108.0
heat,0.0,4.0,1.0,5.0
heaven,0.0,0.0,1.0,1.0
heaver,0.0,0.0,1.0,1.0
heavi,58.0,64.0,187.0,309.0
heavier,0.0,20.0,61.0,81.0
heavili,4.0,4.0,6.0,14.0
heck,0.0,4.0,0.0,4.0
heed,0.0,0.0,1.0,1.0
hefti,0.0,0.0,1.0,1.0
hehe,0.0,0.0,1.0,1.0
height,0.0,0.0,13.0,13.0
heil,0.0,0.0,4.0,4.0
held,0.0,8.0,30.0,38.0
hell,0.0,0.0,2.0,2.0
help,51.0,68.0,125.0,244.0
hem,0.0,0.0,1.0,1.0
henc,0.0,0.0,2.0,2.0
hendrixish,0.0,0.0,1.0,1.0
herc,0.0,0.0,1.0,1.0
hercul,0.0,0.0,1.0,1.0
here,73.0,72.0,143.0,288.0
herr,0.0,0.0,1.0,1.0
hes,0.0,0.0,1.0,1.0
hesit,0.0,8.0,15.0,23.0
hey,0.0,0.0,4.0,4.0
hi,0.0,0.0,7.0,7.0
hidden,12.0,0.0,4.0,16.0
hide,0.0,0.0,3.0,3.0
higest,0.0,0.0,1.0,1.0
high,213.0,108.0,373.0,694.0
higher,48.0,56.0,67.0,171.0
highest,0.0,0.0,8.0,8.0
highlight,0.0,0.0,2.0,2.0
hight,0.0,0.0,1.0,1.0
hinder,0.0,0.0,4.0,4.0
hip,0.0,0.0,1.0,1.0
hison,0.0,0.0,1.0,1.0
hiss,26.0,16.0,9.0,51.0
hissi,0.0,8.0,1.0,9.0
hit,4.0,12.0,41.0,57.0
hive,4.0,0.0,0.0,4.0
hmm,0.0,0.0,1.0,1.0
hobbi,0.0,0.0,2.0,2.0
hobbyist,0.0,0.0,1.0,1.0
hog,0.0,0.0,1.0,1.0
hohner,0.0,0.0,1.0,1.0
hold,111.0,116.0,341.0,568.0
holdsworth,0.0,0.0,1.0,1.0
hole,8.0,8.0,7.0,23.0
holi,0.0,4.0,6.0,10.0
hollow,0.0,0.0,4.0,4.0
home,0.0,0.0,5.0,5.0
homemad,0.0,0.0,3.0,3.0
hone,0.0,0.0,3.0,3.0
honest,37.0,32.0,34.0,103.0
honki,0.0,0.0,2.0,2.0
hook,12.0,32.0,38.0,82.0
hope,82.0,64.0,40.0,186.0
horizont,0.0,4.0,3.0,7.0
horn,0.0,0.0,2.0,2.0
horribl,0.0,20.0,11.0,31.0
horrid,0.0,4.0,1.0,5.0
hosa,8.0,8.0,8.0,24.0
hose,0.0,0.0,1.0,1.0
hot,0.0,8.0,10.0,18.0
hotter,0.0,4.0,4.0,8.0
hous,0.0,4.0,1.0,5.0
howev,195.0,84.0,141.0,420.0
hp,0.0,0.0,1.0,1.0
hping,0.0,0.0,1.0,1.0
hr,0.0,0.0,1.0,1.0
hrd,0.0,4.0,0.0,4.0
hte,0.0,0.0,1.0,1.0
http,0.0,0.0,1.0,1.0
hug,0.0,0.0,1.0,1.0
huge,16.0,24.0,33.0,73.0
hugeit,0.0,0.0,1.0,1.0
huh,0.0,0.0,1.0,1.0
hula,0.0,0.0,1.0,1.0
hum,8.0,4.0,6.0,18.0
human,0.0,0.0,7.0,7.0
humbl,21.0,0.0,0.0,21.0
humbuck,0.0,0.0,2.0,2.0
humdifi,0.0,0.0,1.0,1.0
humid,0.0,0.0,4.0,4.0
humidif,0.0,0.0,1.0,1.0
humidifi,39.0,4.0,12.0,55.0
humidipak,0.0,0.0,3.0,3.0
hundr,0.0,4.0,2.0,6.0
hunt,0.0,0.0,2.0,2.0
hurt,8.0,4.0,22.0,34.0
hybrid,0.0,4.0,2.0,6.0
hydrat,0.0,0.0,2.0,2.0
hype,21.0,0.0,2.0,23.0
hyper,4.0,0.0,2.0,6.0
hypnot,0.0,0.0,1.0,1.0
hz,0.0,0.0,5.0,5.0
ibanez,0.0,4.0,13.0,17.0
icepick,0.0,0.0,1.0,1.0
icepicki,0.0,0.0,1.0,1.0
icon,0.0,0.0,2.0,2.0
ideal,4.0,0.0,13.0,17.0
ident,21.0,4.0,9.0,34.0
identifi,0.0,0.0,5.0,5.0
idioci,0.0,0.0,1.0,1.0
idiot,0.0,0.0,2.0,2.0
ie,0.0,0.0,5.0,5.0
iffi,0.0,0.0,2.0,2.0
iggi,0.0,0.0,1.0,1.0
ignit,0.0,0.0,1.0,1.0
ignor,0.0,4.0,3.0,7.0
ii,0.0,0.0,6.0,6.0
iii,0.0,0.0,1.0,1.0
il,0.0,0.0,1.0,1.0
ill,0.0,0.0,4.0,4.0
illumin,0.0,0.0,1.0,1.0
im,0.0,8.0,14.0,22.0
imagin,26.0,20.0,20.0,66.0
imho,0.0,12.0,6.0,18.0
imhoupd,0.0,4.0,0.0,4.0
imit,0.0,0.0,1.0,1.0
immedi,4.0,0.0,35.0,39.0
immediat,0.0,4.0,0.0,4.0
immobil,0.0,0.0,1.0,1.0
immort,0.0,0.0,1.0,1.0
imo,0.0,4.0,3.0,7.0
impact,0.0,0.0,4.0,4.0
impecc,0.0,0.0,1.0,1.0
impend,0.0,0.0,1.0,1.0
imperfect,0.0,0.0,1.0,1.0
implement,0.0,0.0,1.0,1.0
impli,0.0,0.0,4.0,4.0
import,22.0,28.0,51.0,101.0
imposs,16.0,8.0,13.0,37.0
impract,0.0,0.0,1.0,1.0
impress,8.0,16.0,68.0,92.0
improp,0.0,0.0,1.0,1.0
improv,12.0,12.0,49.0,73.0
improvis,0.0,0.0,2.0,2.0
impuls,0.0,4.0,1.0,5.0
in,0.0,0.0,1.0,1.0
inact,0.0,0.0,1.0,1.0
inadequ,0.0,4.0,0.0,4.0
inadvert,0.0,0.0,2.0,2.0
inapprori,0.0,0.0,1.0,1.0
inbetween,0.0,0.0,1.0,1.0
inbubbl,0.0,0.0,1.0,1.0
incap,8.0,0.0,0.0,8.0
inch,0.0,0.0,14.0,14.0
incident,0.0,0.0,2.0,2.0
inclin,0.0,4.0,6.0,10.0
includ,20.0,40.0,108.0,168.0
incompar,0.0,0.0,1.0,1.0
inconceiv,0.0,0.0,1.0,1.0
inconsequenti,0.0,0.0,1.0,1.0
inconveni,4.0,0.0,2.0,6.0
incorpor,8.0,0.0,1.0,9.0
incorrect,0.0,8.0,6.0,14.0
increas,4.0,12.0,20.0,36.0
incred,8.0,0.0,25.0,33.0
increment,0.0,0.0,1.0,1.0
inde,0.0,0.0,12.0,12.0
indefinit,0.0,4.0,1.0,5.0
indent,0.0,0.0,1.0,1.0
independ,0.0,0.0,7.0,7.0
indespens,0.0,0.0,2.0,2.0
indestruct,0.0,0.0,4.0,4.0
indic,0.0,8.0,9.0,17.0
indiffer,0.0,0.0,1.0,1.0
indirect,0.0,0.0,1.0,1.0
indispens,0.0,0.0,3.0,3.0
indisput,0.0,0.0,1.0,1.0
individu,0.0,0.0,26.0,26.0
indonesia,0.0,0.0,1.0,1.0
indonesian,0.0,0.0,1.0,1.0
indoor,0.0,0.0,4.0,4.0
induc,0.0,0.0,3.0,3.0
industri,0.0,0.0,4.0,4.0
ineffect,0.0,0.0,1.0,1.0
ineffici,0.0,0.0,1.0,1.0
inept,0.0,0.0,1.0,1.0
inevit,0.0,0.0,1.0,1.0
inexcus,0.0,0.0,1.0,1.0
inexpens,16.0,32.0,101.0,149.0
inexpensiveepiphon,0.0,0.0,1.0,1.0
inexperienc,0.0,0.0,1.0,1.0
inferior,8.0,0.0,3.0,11.0
infinit,0.0,4.0,1.0,5.0
influenc,0.0,0.0,1.0,1.0
info,0.0,0.0,1.0,1.0
infomerci,0.0,0.0,1.0,1.0
inform,0.0,4.0,0.0,4.0
infrequ,0.0,0.0,2.0,2.0
ingeni,0.0,0.0,1.0,1.0
