,negative,positive,total
nearsight,5.0,1.0,6.0
neat,117.0,213.0,330.0
neaten,0.0,1.0,1.0
neater,1.0,0.0,1.0
neatest,0.0,2.0,2.0
neatnik,0.0,2.0,2.0
neato,1.0,2.0,3.0
nebbish,3.0,4.0,7.0
nebbishi,2.0,0.0,2.0
nebesti,0.0,1.0,1.0
nebraska,6.0,6.0,12.0
nebraskan,1.0,1.0,2.0
nebukadnezzar,1.0,0.0,1.0
nebul,5.0,3.0,8.0
nebula,1.0,1.0,2.0
nec,0.0,1.0,1.0
neccesari,0.0,1.0,1.0
neccessari,1.0,0.0,1.0
neccessarili,0.0,2.0,2.0
necess,1.0,1.0,2.0
necessari,246.0,358.0,604.0
necessarili,148.0,194.0,342.0
necessit,6.0,8.0,14.0
necheyev,0.0,1.0,1.0
neck,15.0,15.0,30.0
necklac,1.0,1.0,2.0
neckti,2.0,0.0,2.0
necro,2.0,2.0,4.0
necroborg,0.0,3.0,3.0
necrom,4.0,0.0,4.0
necromaniac,0.0,2.0,2.0
necromant,1.0,0.0,1.0
necronomicon,3.0,2.0,5.0
necrophagus,1.0,0.0,1.0
necrophilia,6.0,2.0,8.0
necrophiliac,6.0,1.0,7.0
necrophiliact,1.0,0.0,1.0
necrot,1.0,0.0,1.0
ned,66.0,162.0,228.0
nedivi,0.0,1.0,1.0
nee,2.0,1.0,3.0
neecessari,1.0,0.0,1.0
neech,0.0,1.0,1.0
need,2722.0,2355.0,5077.0
needham,2.0,1.0,3.0
needi,12.0,13.0,25.0
neediest,0.0,1.0,1.0
needl,19.0,18.0,37.0
needless,151.0,78.0,229.0
needn,0.0,1.0,1.0
neeli,1.0,0.0,1.0
neelix,0.0,3.0,3.0
neema,1.0,0.0,1.0
neenan,0.0,1.0,1.0
nees,0.0,2.0,2.0
neeson,7.0,6.0,13.0
nefari,21.0,21.0,42.0
nefer,1.0,6.0,7.0
neff,5.0,0.0,5.0
nefretiri,1.0,0.0,1.0
negat,335.0,369.0,704.0
negationist,1.0,0.0,1.0
negativist,0.0,1.0,1.0
neglect,58.0,110.0,168.0
neglig,21.0,8.0,29.0
negoti,16.0,23.0,39.0
negotiatior,0.0,1.0,1.0
negr,0.0,1.0,1.0
negra,0.0,1.0,1.0
negran,1.0,0.0,1.0
negreba,0.0,1.0,1.0
negri,0.0,1.0,1.0
negro,6.0,4.0,10.0
neha,2.0,1.0,3.0
nehru,0.0,1.0,1.0
neieto,1.0,0.0,1.0
neigh,2.0,1.0,3.0
neighbor,16.0,14.0,30.0
neighborhood,5.0,5.0,10.0
neighbour,60.0,85.0,145.0
neighbourhood,2.0,0.0,2.0
neil,70.0,94.0,164.0
neill,8.0,37.0,45.0
neilsen,3.0,0.0,3.0
nein,0.0,2.0,2.0
neis,1.0,0.0,1.0
neith,1.0,0.0,1.0
neither,82.0,36.0,118.0
nekeddo,1.0,0.0,1.0
nekhron,0.0,1.0,1.0
nekk,1.0,0.0,1.0
nekkid,9.0,0.0,9.0
nekoski,0.0,1.0,1.0
nekromantik,2.0,5.0,7.0
nekron,0.0,2.0,2.0
nel,4.0,1.0,5.0
nelkin,1.0,0.0,1.0
nell,16.0,7.0,23.0
nelli,12.0,8.0,20.0
nelligan,1.0,0.0,1.0
nelof,0.0,1.0,1.0
nelsan,1.0,0.0,1.0
nelson,39.0,44.0,83.0
nemean,1.0,0.0,1.0
nemec,2.0,0.0,2.0
nemesi,3.0,4.0,7.0
nemo,7.0,4.0,11.0
nene,0.0,5.0,5.0
nenji,1.0,0.0,1.0
neno,0.0,1.0,1.0
neo,50.0,77.0,127.0
neoclass,1.0,1.0,2.0
neolith,0.0,2.0,2.0
neon,16.0,13.0,29.0
neonazi,1.0,0.0,1.0
neophyt,3.0,6.0,9.0
neorealist,1.0,4.0,5.0
neoten,1.0,0.0,1.0
neous,1.0,0.0,1.0
nepal,1.0,2.0,3.0
nepales,1.0,0.0,1.0
nepali,1.0,0.0,1.0
nephew,16.0,30.0,46.0
nephilim,1.0,0.0,1.0
nepolean,0.0,1.0,1.0
nepotist,1.0,0.0,1.0
neptun,5.0,2.0,7.0
ner,1.0,0.0,1.0
nera,0.0,1.0,1.0
nerd,45.0,20.0,65.0
nerdbomb,1.0,0.0,1.0
nerdi,42.0,33.0,75.0
nerdier,2.0,0.0,2.0
nerdish,2.0,2.0,4.0
nerdl,0.0,1.0,1.0
nerdlebrain,0.0,1.0,1.0
nerf,1.0,0.0,1.0
neri,3.0,0.0,3.0
nerissa,0.0,1.0,1.0
nerlich,0.0,2.0,2.0
nero,24.0,3.0,27.0
nerukku,0.0,1.0,1.0
nerv,4.0,17.0,21.0
nerva,1.0,0.0,1.0
nervewrack,1.0,0.0,1.0
nervi,0.0,5.0,5.0
nervous,84.0,122.0,206.0
nervrack,1.0,0.0,1.0
nes,0.0,1.0,1.0
nesbit,0.0,3.0,3.0
nesbitt,1.0,0.0,1.0
nesher,1.0,0.0,1.0
nesic,0.0,1.0,1.0
nesmith,0.0,3.0,3.0
nesn,0.0,1.0,1.0
ness,16.0,10.0,26.0
nessa,0.0,1.0,1.0
nessecari,1.0,0.0,1.0
nessi,4.0,3.0,7.0
nessun,1.0,6.0,7.0
nest,35.0,38.0,73.0
nestl,7.0,4.0,11.0
nestor,2.0,7.0,9.0
net,57.0,55.0,112.0
netflix,24.0,11.0,35.0
nether,2.0,1.0,3.0
netherfield,1.0,0.0,1.0
netherland,1.0,1.0,2.0
netherworld,0.0,1.0,1.0
nett,0.0,1.0,1.0
netti,1.0,2.0,3.0
nettleb,2.0,0.0,2.0
netwon,1.0,0.0,1.0
network,4.0,4.0,8.0
netzero,0.0,1.0,1.0
neubauten,0.0,2.0,2.0
neuclear,0.0,1.0,1.0
neue,0.0,1.0,1.0
neuen,0.0,1.0,1.0
neuf,0.0,3.0,3.0
neufeld,1.0,0.0,1.0
neul,0.0,3.0,3.0
neuman,0.0,2.0,2.0
neumann,0.0,3.0,3.0
neumeier,1.0,0.0,1.0
neural,1.0,0.0,1.0
neurlog,1.0,0.0,1.0
neuro,2.0,0.0,2.0
neuroinfecti,0.0,1.0,1.0
neurolog,5.0,4.0,9.0
neurologist,0.0,1.0,1.0
neuromuscular,1.0,0.0,1.0
neurosi,1.0,1.0,2.0
neurot,49.0,62.0,111.0
neuter,15.0,0.0,15.0
neutral,27.0,44.0,71.0
neutralis,2.0,0.0,2.0
neutron,1.0,0.0,1.0
nev,7.0,2.0,9.0
neva,1.0,2.0,3.0
nevada,11.0,7.0,18.0
neve,9.0,20.0,29.0
nevel,1.0,0.0,1.0
never,6483.0,6215.0,12698.0
neverend,7.0,10.0,17.0
neverheless,1.0,0.0,1.0
neverland,1.0,4.0,5.0
nevermind,3.0,1.0,4.0
nevermor,2.0,0.0,2.0
neversoft,0.0,2.0,2.0
nevertheless,104.0,264.0,368.0
nevil,0.0,4.0,4.0
nevill,0.0,15.0,15.0
nevski,1.0,23.0,24.0
nevskiy,0.0,1.0,1.0
nevskyi,0.0,1.0,1.0
new,3400.0,4552.0,7952.0
newark,1.0,5.0,6.0
newbern,6.0,2.0,8.0
newbi,5.0,9.0,14.0
newbold,1.0,0.0,1.0
newborn,12.0,7.0,19.0
newburi,0.0,1.0,1.0
newcastl,11.0,1.0,12.0
newcom,22.0,38.0,60.0
newcomb,0.0,13.0,13.0
newer,37.0,55.0,92.0
newest,23.0,25.0,48.0
newey,2.0,0.0,2.0
newfangl,2.0,0.0,2.0
newfield,3.0,0.0,3.0
newfound,3.0,9.0,12.0
newgat,1.0,1.0,2.0
newground,1.0,0.0,1.0
newhart,3.0,18.0,21.0
newish,0.0,1.0,1.0
newli,61.0,100.0,161.0
newlw,1.0,0.0,1.0
newlyw,8.0,2.0,10.0
newmail,0.0,1.0,1.0
newman,18.0,54.0,72.0
newmar,0.0,3.0,3.0
newport,0.0,3.0,3.0
newscast,2.0,2.0,4.0
newsday,1.0,0.0,1.0
newsflash,4.0,0.0,4.0
newsgroup,0.0,1.0,1.0
newsman,3.0,1.0,4.0
newspaperman,0.0,1.0,1.0
newspeopl,1.0,0.0,1.0
newsreel,4.0,7.0,11.0
newstart,0.0,1.0,1.0
newsweek,5.0,2.0,7.0
newswoman,1.0,0.0,1.0
newt,2.0,1.0,3.0
newton,9.0,7.0,16.0
newtonian,0.0,1.0,1.0
newtown,1.0,0.0,1.0
newwww,1.0,0.0,1.0
nex,1.0,0.0,1.0
next,1601.0,1493.0,3094.0
nexus,0.0,1.0,1.0
nez,1.0,1.0,2.0
nfaith,0.0,1.0,1.0
nfb,0.0,1.0,1.0
nfl,3.0,4.0,7.0
nfni,0.0,1.0,1.0
ng,4.0,2.0,6.0
ngassa,0.0,1.0,1.0
ngel,0.0,1.0,1.0
ngela,0.0,1.0,1.0
nger,0.0,2.0,2.0
ngere,0.0,1.0,1.0
nget,0.0,2.0,2.0
nghya,1.0,0.0,1.0
ngo,0.0,1.0,1.0
ngoyen,0.0,1.0,1.0
nguyen,2.0,2.0,4.0
ngyuen,1.0,0.0,1.0
nhk,0.0,1.0,1.0
nhl,1.0,1.0,2.0
ni,2.0,7.0,9.0
nia,5.0,5.0,10.0
niagara,1.0,4.0,5.0
niagra,1.0,2.0,3.0
niall,2.0,0.0,2.0
niamh,2.0,0.0,2.0
niami,0.0,2.0,2.0
nibbi,1.0,0.0,1.0
nibbl,2.0,1.0,3.0
nibelungen,0.0,6.0,6.0
nic,18.0,11.0,29.0
nica,0.0,1.0,1.0
nicam,0.0,1.0,1.0
nicaragua,0.0,1.0,1.0
niccolo,0.0,1.0,1.0
nice,1816.0,2473.0,4289.0
nicer,16.0,14.0,30.0
nicest,17.0,7.0,24.0
nicgola,1.0,0.0,1.0
nich,3.0,0.0,3.0
nichlolson,0.0,1.0,1.0
nichol,12.0,4.0,16.0
nichola,35.0,36.0,71.0
nicholett,1.0,0.0,1.0
nicholl,1.0,1.0,2.0
nicholson,17.0,24.0,41.0
nicht,0.0,1.0,1.0
nick,190.0,183.0,373.0
nickalodean,1.0,0.0,1.0
nickalodeon,1.0,0.0,1.0
nickel,2.0,0.0,2.0
nickelbi,1.0,1.0,2.0
nickelodean,2.0,0.0,2.0
nickeloden,0.0,1.0,1.0
nickelodeon,11.0,7.0,18.0
nickerson,0.0,1.0,1.0
nicki,7.0,34.0,41.0
nickleback,1.0,0.0,1.0
nicklebi,0.0,4.0,4.0
nickleodeon,1.0,0.0,1.0
nicklodeon,1.0,0.0,1.0
nickman,1.0,0.0,1.0
nicknack,1.0,0.0,1.0
nicknam,16.0,26.0,42.0
nickola,1.0,2.0,3.0
nickolodean,1.0,1.0,2.0
nickolodeon,1.0,0.0,1.0
nickolson,1.0,0.0,1.0
nickson,5.0,0.0,5.0
nicmart,0.0,1.0,1.0
nico,3.0,8.0,11.0
nicodim,1.0,0.0,1.0
nicol,79.0,94.0,173.0
nicola,32.0,69.0,101.0
nicolai,0.0,3.0,3.0
nicolett,1.0,1.0,2.0
nicoletta,0.0,5.0,5.0
nicolevna,0.0,1.0,1.0
nicoli,1.0,0.0,1.0
nicolodi,0.0,7.0,7.0
nicotin,6.0,4.0,10.0
nicu,1.0,0.0,1.0
nidia,0.0,3.0,3.0
niebelungen,0.0,1.0,1.0
niec,14.0,31.0,45.0
niedhart,2.0,0.0,2.0
niel,4.0,0.0,4.0
niell,1.0,0.0,1.0
nielsen,16.0,20.0,36.0
nielson,2.0,1.0,3.0
niemann,3.0,5.0,8.0
nieto,2.0,1.0,3.0
nietschz,0.0,1.0,1.0
nietszchean,0.0,1.0,1.0
nietzsch,2.0,1.0,3.0
nietzschean,0.0,5.0,5.0
nieztsch,0.0,2.0,2.0
niflheim,0.0,1.0,1.0
nifti,30.0,50.0,80.0
niftili,0.0,1.0,1.0
nig,1.0,0.0,1.0
nigam,0.0,1.0,1.0
nigel,13.0,26.0,39.0
nigeria,2.0,1.0,3.0
nigerian,1.0,4.0,5.0
nigga,1.0,0.0,1.0
niggard,0.0,1.0,1.0
niggaz,0.0,1.0,1.0
nigger,2.0,0.0,2.0
niggl,4.0,1.0,5.0
nigh,19.0,18.0,37.0
nighi,3.0,7.0,10.0
night,14.0,7.0,21.0
nightbe,0.0,1.0,1.0
nightbeast,2.0,0.0,2.0
nightbre,3.0,8.0,11.0
nightcap,1.0,0.0,1.0
nightclub,18.0,43.0,61.0
nightdress,1.0,0.0,1.0
nightfal,1.0,0.0,1.0
nightfir,0.0,1.0,1.0
nightfish,2.0,0.0,2.0
nightgown,6.0,0.0,6.0
nightim,0.0,1.0,1.0
nightingal,4.0,4.0,8.0
nightkil,1.0,0.0,1.0
nightlif,2.0,0.0,2.0
nightlin,2.0,1.0,3.0
nightmar,77.0,80.0,157.0
nightmarish,23.0,61.0,84.0
nightscream,1.0,0.0,1.0
nightsheet,0.0,1.0,1.0
nightski,0.0,1.0,1.0
nightstick,1.0,0.0,1.0
nighttim,10.0,9.0,19.0
nightw,1.0,3.0,4.0
nigmatullin,1.0,0.0,1.0
nigserian,1.0,1.0,2.0
nihalani,0.0,4.0,4.0
nihil,0.0,2.0,2.0
nihilist,11.0,34.0,45.0
nihlan,0.0,1.0,1.0
nihon,1.0,3.0,4.0
nihonjin,0.0,1.0,1.0
niiiiiight,0.0,1.0,1.0
nikah,0.0,1.0,1.0
nike,2.0,3.0,5.0
nikhil,9.0,0.0,9.0
nikhilji,1.0,0.0,1.0
niki,6.0,0.0,6.0
nikita,3.0,2.0,5.0
nikkatsu,0.0,1.0,1.0
nikki,16.0,17.0,33.0
nikla,0.0,2.0,2.0
nikol,1.0,0.0,1.0
nikolai,3.0,10.0,13.0
nikolaj,2.0,7.0,9.0
nikolaus,0.0,1.0,1.0
nikolett,0.0,2.0,2.0
niksen,0.0,6.0,6.0
niku,1.0,1.0,2.0
nil,9.0,4.0,13.0
nile,10.0,3.0,13.0
nill,1.0,0.0,1.0
nilli,5.0,4.0,9.0
nilo,0.0,1.0,1.0
nilsson,1.0,11.0,12.0
nim,0.0,2.0,2.0
nimbl,3.0,8.0,11.0
nimbus,1.0,0.0,1.0
nimh,3.0,2.0,5.0
nimi,0.0,15.0,15.0
nimoy,5.0,4.0,9.0
nimrod,0.0,3.0,3.0
nin,3.0,1.0,4.0
nina,13.0,51.0,64.0
ninagawa,1.0,0.0,1.0
nincompoop,1.0,0.0,1.0
nineteen,9.0,11.0,20.0
nineteenth,7.0,15.0,22.0
nineti,19.0,1.0,20.0
ninetieth,0.0,1.0,1.0
ninetysometh,0.0,1.0,1.0
ning,0.0,2.0,2.0
ninga,1.0,0.0,1.0
ningen,1.0,0.0,1.0
nini,0.0,7.0,7.0
ninja,124.0,65.0,189.0
ninjavill,1.0,0.0,1.0
ninjitsu,1.0,0.0,1.0
ninjo,0.0,1.0,1.0
ninjutsu,1.0,1.0,2.0
ninni,2.0,1.0,3.0
nino,1.0,0.0,1.0
ninotchka,1.0,3.0,4.0
ninphomaniac,1.0,0.0,1.0
ninteen,1.0,2.0,3.0
nintendo,11.0,16.0,27.0
ninth,21.0,14.0,35.0
nio,1.0,2.0,3.0
nip,7.0,5.0,12.0
nipar,1.0,0.0,1.0
nipper,0.0,1.0,1.0
nippi,2.0,1.0,3.0
nippl,12.0,7.0,19.0
nippon,0.0,1.0,1.0
niran,1.0,0.0,1.0
nirmal,2.0,0.0,2.0
niro,2.0,3.0,5.0
nirupa,1.0,0.0,1.0
nirvana,4.0,6.0,10.0
nisep,0.0,1.0,1.0
nisha,8.0,2.0,10.0
nishaabd,1.0,0.0,1.0
nishabd,2.0,0.0,2.0
nishi,2.0,0.0,2.0
nishida,0.0,1.0,1.0
nishimura,0.0,1.0,1.0
nishina,0.0,3.0,3.0
nishiyama,1.0,0.0,1.0
nishizaki,1.0,0.0,1.0
nispel,1.0,0.0,1.0
nissan,1.0,0.0,1.0
nisso,0.0,1.0,1.0
nit,10.0,13.0,23.0
nita,0.0,2.0,2.0
nite,5.0,5.0,10.0
nithari,1.0,0.0,1.0
nitin,0.0,4.0,4.0
nitpick,9.0,26.0,35.0
nitpicki,3.0,2.0,5.0
nitrat,1.0,4.0,5.0
nitric,0.0,2.0,2.0
nitro,2.0,9.0,11.0
nitrous,1.0,2.0,3.0
nitta,2.0,0.0,2.0
nittani,1.0,0.0,1.0
nitti,6.0,7.0,13.0
nitu,0.0,1.0,1.0
nitwit,4.0,3.0,7.0
niven,27.0,52.0,79.0
nivoli,1.0,0.0,1.0
nix,4.0,1.0,5.0
nixflix,2.0,3.0,5.0
nixon,19.0,8.0,27.0
nj,1.0,1.0,2.0
njosnavelin,0.0,1.0,1.0
nk,1.0,0.0,1.0
nkosi,0.0,1.0,1.0
nkvd,1.0,0.0,1.0
nl,0.0,1.0,1.0
nm,0.0,4.0,4.0
nme,0.0,1.0,1.0
nniskor,0.0,1.0,1.0
no,391.0,317.0,708.0
noah,53.0,21.0,74.0
noam,6.0,13.0,19.0
noatabl,0.0,1.0,1.0
nob,1.0,1.0,2.0
nobel,12.0,10.0,22.0
nobi,0.0,1.0,1.0
nobil,0.0,1.0,1.0
nobl,89.0,155.0,244.0
nobleman,3.0,5.0,8.0
nobler,1.0,2.0,3.0
nobless,0.0,1.0,1.0
noblest,0.0,2.0,2.0
noblewoman,1.0,1.0,2.0
nobli,2.0,4.0,6.0
nobodi,32.0,23.0,55.0
nobu,2.0,2.0,4.0
nobuhiro,0.0,2.0,2.0
nobuo,1.0,0.0,1.0
noch,0.0,1.0,1.0
nock,1.0,1.0,2.0
nocoletta,0.0,1.0,1.0
noctern,0.0,1.0,1.0
nocturn,6.0,10.0,16.0
nod,57.0,32.0,89.0
node,1.0,0.0,1.0
noe,5.0,2.0,7.0
noel,23.0,30.0,53.0
noelgypsi,0.0,1.0,1.0
nofth,0.0,1.0,1.0
nog,2.0,1.0,3.0
nogal,0.0,1.0,1.0
noh,1.0,1.0,2.0
noir,74.0,237.0,311.0
noirean,0.0,1.0,1.0
noirest,1.0,0.0,1.0
noirish,4.0,23.0,27.0
nois,27.0,12.0,39.0
noisey,1.0,0.0,1.0
noisi,28.0,10.0,38.0
noisier,1.0,0.0,1.0
noisiest,1.0,0.0,1.0
noisili,1.0,1.0,2.0
noisom,0.0,1.0,1.0
nok,0.0,1.0,1.0
nolan,14.0,30.0,44.0
noland,1.0,0.0,1.0
noll,1.0,2.0,3.0
nolo,0.0,1.0,1.0
nolt,22.0,22.0,44.0
nom,1.0,1.0,2.0
nomactr,1.0,0.0,1.0
nomad,7.0,11.0,18.0
nombr,1.0,0.0,1.0
nome,0.0,1.0,1.0
nomin,134.0,360.0,494.0
nomine,9.0,2.0,11.0
non,822.0,615.0,1437.0
nona,1.0,1.0,2.0
nonagenarian,0.0,1.0,1.0
nonanim,1.0,0.0,1.0
nonaquat,0.0,1.0,1.0
nonchal,17.0,14.0,31.0
noncombat,0.0,1.0,1.0
noncommerci,0.0,1.0,1.0
noncommitt,0.0,1.0,1.0
noncompl,0.0,1.0,1.0
nonconformist,1.0,1.0,2.0
nonda,1.0,0.0,1.0
nondenomin,1.0,0.0,1.0
nondescript,15.0,7.0,22.0
none,62.0,50.0,112.0
nonesens,1.0,0.0,1.0
nonessenti,1.0,0.0,1.0
nonetheless,97.0,198.0,295.0
nonexist,74.0,17.0,91.0
nonfactu,0.0,1.0,1.0
nonfict,1.0,0.0,1.0
nonflamm,1.0,0.0,1.0
nonfunct,1.0,0.0,1.0
noni,2.0,5.0,7.0
nonintent,1.0,0.0,1.0
noninterest,1.0,0.0,1.0
nonjudgment,1.0,1.0,2.0
nonlinear,0.0,3.0,3.0
nonmov,1.0,0.0,1.0
nono,1.0,0.0,1.0
nonono,1.0,0.0,1.0
nonosyllab,0.0,1.0,1.0
nonpareil,0.0,2.0,2.0
nonpluss,4.0,2.0,6.0
nonpolit,0.0,1.0,1.0
nonprofession,1.0,1.0,2.0
nonproport,0.0,1.0,1.0
nonreligi,1.0,0.0,1.0
nonscari,1.0,0.0,1.0
nonsens,252.0,95.0,347.0
nonsensich,1.0,0.0,1.0
nonspecif,2.0,0.0,2.0
nonstop,19.0,24.0,43.0
nonstraight,1.0,0.0,1.0
nontheless,1.0,0.0,1.0
nonthreaten,4.0,1.0,5.0
nontradit,2.0,1.0,3.0
nonverb,0.0,1.0,1.0
nonviol,1.0,1.0,2.0
noo,2.0,1.0,3.0
noob,1.0,0.0,1.0
noodl,7.0,14.0,21.0
noon,6.0,4.0,10.0
noonan,8.0,0.0,8.0
nooo,4.0,1.0,5.0
noooo,4.0,0.0,4.0
nooooo,3.0,1.0,4.0
noooooo,1.0,1.0,2.0
nooooooo,2.0,0.0,2.0
noooooooo,2.0,0.0,2.0
nooooooooooooo,1.0,0.0,1.0
noooooooooooooooo,1.0,0.0,1.0
noordman,0.0,2.0,2.0
noos,5.0,6.0,11.0
nooz,1.0,0.0,1.0
nopd,0.0,1.0,1.0
nope,36.0,5.0,41.0
nora,19.0,20.0,39.0
norah,4.0,6.0,10.0
norberg,0.0,1.0,1.0
norbert,0.0,1.0,1.0
norberto,1.0,0.0,1.0
norbit,1.0,0.0,1.0
nordberg,0.0,2.0,2.0
nordestina,0.0,4.0,4.0
nordic,4.0,10.0,14.0
nordisch,1.0,0.0,1.0
nore,0.0,2.0,2.0
noreen,0.0,1.0,1.0
norfolk,1.0,4.0,5.0
nori,0.0,1.0,1.0
noriko,0.0,8.0,8.0
noriyuki,0.0,1.0,1.0
norliss,5.0,0.0,5.0
norm,13.0,6.0,19.0
norma,34.0,39.0,73.0
normaali,0.0,1.0,1.0
normal,721.0,745.0,1466.0
normalci,3.0,7.0,10.0
normalis,1.0,0.0,1.0
norman,75.0,103.0,178.0
normand,0.0,1.0,1.0
normandi,0.0,4.0,4.0
normat,3.0,1.0,4.0
normous,1.0,0.0,1.0
noroi,0.0,5.0,5.0
norri,97.0,14.0,111.0
norrington,0.0,2.0,2.0
norrland,0.0,1.0,1.0
nors,8.0,2.0,10.0
norsk,0.0,3.0,3.0
north,136.0,229.0,365.0
northam,3.0,9.0,12.0
northang,11.0,6.0,17.0
northbound,0.0,1.0,1.0
northcliff,0.0,1.0,1.0
northeast,0.0,2.0,2.0
northeastern,1.0,1.0,2.0
northen,0.0,1.0,1.0
northern,66.0,73.0,139.0
northfield,2.0,0.0,2.0
northfolk,0.0,1.0,1.0
northfork,4.0,4.0,8.0
northstar,0.0,1.0,1.0
northward,0.0,1.0,1.0
northwest,23.0,26.0,49.0
northwestern,1.0,4.0,5.0
norton,13.0,14.0,27.0
norway,6.0,13.0,19.0
norweagian,1.0,0.0,1.0
norwegia,1.0,0.0,1.0
norwegian,34.0,39.0,73.0
norwel,1.0,0.0,1.0
norwich,0.0,1.0,1.0
nos,1.0,2.0,3.0
nose,142.0,84.0,226.0
noseble,0.0,2.0,2.0
nosed,12.0,1.0,13.0
nosediv,1.0,1.0,2.0
noseworthi,0.0,1.0,1.0
nosey,3.0,6.0,9.0
nosferatu,1.0,9.0,10.0
nosi,8.0,12.0,20.0
nosiest,0.0,1.0,1.0
nossit,0.0,4.0,4.0
nostalg,52.0,109.0,161.0
nostalghia,0.0,1.0,1.0
nostalgia,32.0,40.0,72.0
nostra,0.0,1.0,1.0
nostradamus,3.0,0.0,3.0
nostril,17.0,0.0,17.0
not,71414.0,54795.0,126209.0
nota,0.0,1.0,1.0
notabl,218.0,324.0,542.0
notari,1.0,0.0,1.0
notc,1.0,0.0,1.0
notch,12.0,21.0,33.0
note,325.0,420.0,745.0
noteabl,1.0,2.0,3.0
notepad,2.0,0.0,2.0
noteworthi,42.0,49.0,91.0
noteworthili,1.0,0.0,1.0
nothan,0.0,1.0,1.0
nother,2.0,0.0,2.0
nothi,0.0,1.0,1.0
nothin,0.0,2.0,2.0
nothing,7.0,3.0,10.0
nothwest,1.0,0.0,1.0
noti,1.0,0.0,1.0
notic,684.0,706.0,1390.0
notifi,9.0,12.0,21.0
notion,2.0,0.0,2.0
notis,1.0,0.0,1.0
notl,1.0,1.0,2.0
notld,0.0,1.0,1.0
notmeant,1.0,0.0,1.0
notori,132.0,172.0,304.0
notorieti,3.0,1.0,4.0
notorius,1.0,0.0,1.0
notr,13.0,31.0,44.0
notrious,0.0,1.0,1.0
notsogood,1.0,0.0,1.0
nott,10.0,0.0,10.0
notti,1.0,0.0,1.0
nottingham,0.0,2.0,2.0
notwithstand,31.0,31.0,62.0
nou,0.0,1.0,1.0
nougatin,0.0,1.0,1.0
nought,3.0,0.0,3.0
nouri,0.0,1.0,1.0
nourish,5.0,8.0,13.0
nous,2.0,3.0,5.0
nouveau,0.0,1.0,1.0
nouvell,10.0,9.0,19.0
nov,0.0,4.0,4.0
nova,3.0,4.0,7.0
novacain,1.0,0.0,1.0
novak,5.0,50.0,55.0
novarro,0.0,3.0,3.0
nove,1.0,0.0,1.0
novel,215.0,230.0,445.0
novela,0.0,1.0,1.0
novelist,7.0,12.0,19.0
novell,1.0,0.0,1.0
novella,4.0,2.0,6.0
novello,5.0,1.0,6.0
novelti,5.0,3.0,8.0
novemb,4.0,10.0,14.0
novgorod,0.0,1.0,1.0
novic,11.0,10.0,21.0
novikov,0.0,1.0,1.0
novikova,1.0,0.0,1.0
noviti,0.0,1.0,1.0
novo,1.0,0.0,1.0
novocain,1.0,0.0,1.0
novotna,0.0,1.0,1.0
novotni,0.0,1.0,1.0
now,4402.0,4643.0,9045.0
nowaday,39.0,77.0,116.0
noway,1.0,1.0,2.0
nowher,623.0,244.0,867.0
nowheresvill,0.0,1.0,1.0
nowt,0.0,1.0,1.0
noxious,3.0,0.0,3.0
noy,1.0,1.0,2.0
noyc,0.0,1.0,1.0
nozaki,0.0,1.0,1.0
nozi,1.0,0.0,1.0
nozomi,0.0,1.0,1.0
nozzl,1.0,0.0,1.0
npcs,0.0,1.0,1.0
npr,2.0,0.0,2.0
nr,4.0,0.0,4.0
nra,2.0,2.0,4.0
nri,4.0,2.0,6.0
nris,1.0,0.0,1.0
nrj,0.0,1.0,1.0
ns,1.0,0.0,1.0
nsa,7.0,0.0,7.0
nsfc,0.0,1.0,1.0
nsna,0.0,5.0,5.0
nsync,2.0,0.0,2.0
nt,40.0,22.0,62.0
ntalent,0.0,1.0,1.0
ntarea,2.0,0.0,2.0
nter,0.0,1.0,1.0
nth,11.0,5.0,16.0
ntless,1.0,0.0,1.0
ntozak,0.0,1.0,1.0
ntsb,1.0,0.0,1.0
ntsc,2.0,11.0,13.0
ntuba,0.0,1.0,1.0
nu,25.0,2.0,27.0
nuanc,25.0,72.0,97.0
nubi,7.0,0.0,7.0
nubian,1.0,1.0,2.0
nubil,25.0,9.0,34.0
nuchtern,1.0,0.0,1.0
nuclear,182.0,158.0,340.0
nucleus,1.0,1.0,2.0
nuclier,1.0,0.0,1.0
nucular,1.0,0.0,1.0
nuculor,1.0,0.0,1.0
nucyal,1.0,0.0,1.0
nuddi,1.0,0.0,1.0
nude,172.0,112.0,284.0
nudg,7.0,8.0,15.0
nudi,7.0,5.0,12.0
nudist,5.0,3.0,8.0
nuditi,18.0,9.0,27.0
nue,1.0,0.0,1.0
nuev,0.0,1.0,1.0
nueva,0.0,1.0,1.0
nuevo,0.0,1.0,1.0
nuff,6.0,2.0,8.0
nugent,0.0,3.0,3.0
nugget,0.0,2.0,2.0
nugroho,0.0,1.0,1.0
nui,1.0,0.0,1.0
nuisanc,1.0,6.0,7.0
nuit,1.0,1.0,2.0
nuke,28.0,7.0,35.0
nukem,1.0,0.0,1.0
nul,0.0,1.0,1.0
nula,0.0,4.0,4.0
nuld,2.0,0.0,2.0
null,4.0,1.0,5.0
nullifi,3.0,4.0,7.0
nullifidian,1.0,0.0,1.0
num,0.0,1.0,1.0
numa,0.0,1.0,1.0
numar,5.0,0.0,5.0
numb,164.0,45.0,209.0
number,4.0,3.0,7.0
numbl,1.0,1.0,2.0
